ts,linPos_x,linPos_y,linPos_z,linVel_x,linVel_y,linVel_z,linAcc_x,linAcc_y,linAcc_z,force_x,force_y,force_z,torque_x,torque_y,torque_z,euler_x,euler_y,euler_z,angVel_x,angVel_y,angVel_z,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z
1732841047647.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.24931716918945,0.0,0.0,-0.1693500131368637,0.0,0.0,0.0,9455.7880859375,-13379.966796875,-1271.7969970703125,0.0,0.0,45.0,0.0,0.0
1732841047680.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.44337844848633,0.0,0.0,-0.16273215413093567,0.0,0.0,0.0,9501.0517578125,-13347.8642578125,-1222.09765625,0.0,0.0,45.0,0.0,0.0
1732841047697.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.629859924316406,0.0,0.0,-0.15928687155246735,0.0,0.0,0.0,9544.4443359375,-13316.87109375,-1196.2239990234375,0.0,0.0,45.0,0.0,0.0
1732841047713.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.81238555908203,0.0,0.0,-0.1558721661567688,0.0,0.0,0.0,9586.8193359375,-13286.3974609375,-1170.580078125,0.0,0.0,45.0,0.0,0.0
1732841047730.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.991004943847656,0.0,0.0,-0.15232494473457336,0.0,0.0,0.0,9628.1923828125,-13256.4462890625,-1143.94091796875,0.0,0.0,45.0,0.0,0.0
1732841047746.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.16555404663086,0.0,0.0,-0.14887678623199463,0.0,0.0,0.0,9668.533203125,-13227.052734375,-1118.045654296875,0.0,0.0,45.0,0.0,0.0
1732841047780.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.336151123046875,0.0,0.0,-0.14170341193675995,0.0,0.0,0.0,9707.8740234375,-13198.2060546875,-1064.174560546875,0.0,0.0,45.0,0.0,0.0
1732841047796.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.498531341552734,0.0,0.0,-0.1380571871995926,0.0,0.0,0.0,9745.2392578125,-13170.640625,-1036.7918701171875,0.0,0.0,45.0,0.0,0.0
1732841047813.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.6567268371582,0.0,0.0,-0.13438622653484344,0.0,0.0,0.0,9781.56640625,-13143.68359375,-1009.223388671875,0.0,0.0,45.0,0.0,0.0
1732841047830.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.810726165771484,0.0,0.0,-0.1306508332490921,0.0,0.0,0.0,9816.8583984375,-13117.3447265625,-981.1710815429688,0.0,0.0,45.0,0.0,0.0
