ts,linPos_x,linPos_y,linPos_z,linVel_x,linVel_y,linVel_z,linAcc_x,linAcc_y,linAcc_z,force_x,force_y,force_z,torque_x,torque_y,torque_z,euler_x,euler_y,euler_z,angVel_x,angVel_y,angVel_z,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z
1731876542487.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542521.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542554.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542571.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542587.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542621.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542654.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542671.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542671.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542721.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542738.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542771.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542771.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542821.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542838.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542871.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542871.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542888.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16384.0,0.0,0.0,0.0,45.0,0.0,0.0
1731876542938.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036557383835315704,0.0,0.0,-0.02337557263672352,0.0,0.0,0.0,10.453756332397461,-16383.9970703125,-175.5475616455078,0.0,0.0,45.0,0.0,0.0
1731876542955.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06334381550550461,0.0,0.0,-0.014856768772006035,0.0,0.0,0.0,18.113462448120117,-16383.990234375,-111.57243347167969,0.0,0.0,45.0,0.0,0.0
1731876542971.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08036841452121735,0.0,0.0,-0.006352162454277277,0.0,0.0,0.0,22.981721878051758,-16383.984375,-47.70392990112305,0.0,0.0,45.0,0.0,0.0
1731876542988.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0876474604010582,0.0,0.0,0.002129689557477832,0.0,0.0,0.0,25.06319808959961,-16383.98046875,15.993696212768555,0.0,0.0,45.0,0.0,0.0
1731876543038.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04409463331103325,0.0,0.0,0.052630335092544556,0.0,0.0,0.0,12.609068870544434,-16383.9951171875,395.2471008300781,0.0,0.0,45.0,0.0,0.0
1731876543055.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016204833984375,0.0,0.0,0.06928524374961853,0.0,0.0,0.0,-4.633849620819092,-16383.998046875,520.3233032226562,0.0,0.0,45.0,0.0,0.0
1731876543072.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095611572265625,0.0,0.0,0.07744733989238739,0.0,0.0,0.0,-27.3405704498291,-16383.9775390625,581.61962890625,0.0,0.0,45.0,0.0,0.0
1731876543088.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184356689453125,0.0,0.0,0.09389407187700272,0.0,0.0,0.0,-52.71757888793945,-16383.916015625,705.1325073242188,0.0,0.0,45.0,0.0,0.0
1731876543121.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291961669921875,0.0,0.0,0.0932067334651947,0.0,0.0,0.0,-83.48746490478516,-16383.7861328125,699.9706420898438,0.0,0.0,45.0,0.0,0.0
1731876543154.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505126953125,0.0,0.0,0.09241434931755066,0.0,0.0,0.0,-144.4415740966797,-16383.36328125,694.0199584960938,0.0,0.0,45.0,0.0,0.0
1731876543172.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61102294921875,0.0,0.0,0.09196554869413376,0.0,0.0,0.0,-174.7216033935547,-16383.068359375,690.6495361328125,0.0,0.0,45.0,0.0,0.0
1731876543172.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61102294921875,0.0,0.0,0.09196554869413376,0.0,0.0,0.0,-174.7216033935547,-16383.068359375,690.6495361328125,0.0,0.0,45.0,0.0,0.0
1731876543221.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83062744140625,0.0,0.0,0.0985691249370575,0.0,0.0,0.0,-237.5135498046875,-16382.2783203125,740.2415161132812,0.0,0.0,45.0,0.0,0.0
1731876543237.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943572998046875,0.0,0.0,0.09799913316965103,0.0,0.0,0.0,-269.8069763183594,-16381.7783203125,735.9609985351562,0.0,0.0,45.0,0.0,0.0
1731876543271.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167449951171875,0.0,0.0,0.09674553573131561,0.0,0.0,0.0,-333.81475830078125,-16380.59765625,726.546630859375,0.0,0.0,45.0,0.0,0.0
1731876543271.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167449951171875,0.0,0.0,0.09674553573131561,0.0,0.0,0.0,-333.81475830078125,-16380.59765625,726.546630859375,0.0,0.0,45.0,0.0,0.0
1731876543288.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2783203125,0.0,0.0,0.09607667475938797,0.0,0.0,0.0,-365.51141357421875,-16379.9228515625,721.5235595703125,0.0,0.0,45.0,0.0,0.0
1731876543338.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.496856689453125,0.0,0.0,0.09390569478273392,0.0,0.0,0.0,-427.984619140625,-16378.4091796875,705.2197875976562,0.0,0.0,45.0,0.0,0.0
1731876543355.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6044921875,0.0,0.0,0.09313828498125076,0.0,0.0,0.0,-458.752197265625,-16377.576171875,699.4566040039062,0.0,0.0,45.0,0.0,0.0
1731876543372.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.711212158203125,0.0,0.0,0.0923333540558815,0.0,0.0,0.0,-489.2565002441406,-16376.6943359375,693.4116821289062,0.0,0.0,45.0,0.0,0.0
1731876543388.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8170166015625,0.0,0.0,0.09151444584131241,0.0,0.0,0.0,-519.4974365234375,-16375.7626953125,687.2617797851562,0.0,0.0,45.0,0.0,0.0
1731876543422.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.921875,0.0,0.0,0.08978824317455292,0.0,0.0,0.0,-549.4662475585938,-16374.7841796875,674.2982177734375,0.0,0.0,45.0,0.0,0.0
1731876543455.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126617431640625,0.0,0.0,0.08795474469661713,0.0,0.0,0.0,-607.9767456054688,-16372.71484375,660.5288696289062,0.0,0.0,45.0,0.0,0.0
1731876543472.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2274169921875,0.0,0.0,0.08700420707464218,0.0,0.0,0.0,-636.7800903320312,-16371.62109375,653.3905029296875,0.0,0.0,45.0,0.0,0.0
1731876543472.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2274169921875,0.0,0.0,0.08700420707464218,0.0,0.0,0.0,-636.7800903320312,-16371.62109375,653.3905029296875,0.0,0.0,45.0,0.0,0.0
1731876543522.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42572021484375,0.0,0.0,0.08401903510093689,0.0,0.0,0.0,-693.4390258789062,-16369.318359375,630.9722290039062,0.0,0.0,45.0,0.0,0.0
1731876543539.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.522003173828125,0.0,0.0,0.08296924084424973,0.0,0.0,0.0,-720.9459228515625,-16368.130859375,623.08837890625,0.0,0.0,45.0,0.0,0.0
1731876543572.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7109375,0.0,0.0,0.08081591874361038,0.0,0.0,0.0,-774.916259765625,-16365.6640625,606.917236328125,0.0,0.0,45.0,0.0,0.0
1731876543572.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7109375,0.0,0.0,0.08081591874361038,0.0,0.0,0.0,-774.916259765625,-16365.6640625,606.917236328125,0.0,0.0,45.0,0.0,0.0
1731876543622.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8948974609375,0.0,0.0,0.07741843909025192,0.0,0.0,0.0,-827.45751953125,-16363.091796875,581.402587890625,0.0,0.0,45.0,0.0,0.0
1731876543639.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.983612060546875,0.0,0.0,0.07623384147882462,0.0,0.0,0.0,-852.79248046875,-16361.7900390625,572.5064086914062,0.0,0.0,45.0,0.0,0.0
1731876543672.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.157012939453125,0.0,0.0,0.07385454326868057,0.0,0.0,0.0,-902.3060913085938,-16359.1357421875,554.63818359375,0.0,0.0,45.0,0.0,0.0
1731876543672.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.157012939453125,0.0,0.0,0.07385454326868057,0.0,0.0,0.0,-902.3060913085938,-16359.1357421875,554.63818359375,0.0,0.0,45.0,0.0,0.0
1731876543689.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24163818359375,0.0,0.0,0.07259829342365265,0.0,0.0,0.0,-926.4674072265625,-16357.78515625,545.2039184570312,0.0,0.0,45.0,0.0,0.0
1731876543739.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4051513671875,0.0,0.0,0.06876398622989655,0.0,0.0,0.0,-973.1460571289062,-16355.07421875,516.4087524414062,0.0,0.0,45.0,0.0,0.0
1731876543755.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48394775390625,0.0,0.0,0.0674520879983902,0.0,0.0,0.0,-995.6375732421875,-16353.7197265625,506.55657958984375,0.0,0.0,45.0,0.0,0.0
1731876543772.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.561248779296875,0.0,0.0,0.06611666828393936,0.0,0.0,0.0,-1017.700439453125,-16352.36328125,496.5277404785156,0.0,0.0,45.0,0.0,0.0
1731876543789.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.636993408203125,0.0,0.0,0.06474292278289795,0.0,0.0,0.0,-1039.3172607421875,-16351.0029296875,486.2110900878906,0.0,0.0,45.0,0.0,0.0
1731876543839.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7822265625,0.0,0.0,0.060574471950531006,0.0,0.0,0.0,-1080.7603759765625,-16348.3154296875,454.90655517578125,0.0,0.0,45.0,0.0,0.0
1731876543855.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85162353515625,0.0,0.0,0.05916132405400276,0.0,0.0,0.0,-1100.5606689453125,-16346.994140625,444.2939758300781,0.0,0.0,45.0,0.0,0.0
1731876543872.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91943359375,0.0,0.0,0.05772138759493828,0.0,0.0,0.0,-1119.90673828125,-16345.681640625,433.4802551269531,0.0,0.0,45.0,0.0,0.0
1731876543889.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.985565185546875,0.0,0.0,0.05622251704335213,0.0,0.0,0.0,-1138.7723388671875,-16344.376953125,422.2239074707031,0.0,0.0,45.0,0.0,0.0
1731876543922.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04998779296875,0.0,0.0,0.05330156162381172,0.0,0.0,0.0,-1157.149169921875,-16343.0869140625,400.2879333496094,0.0,0.0,45.0,0.0,0.0
