ts,posx_gt,posy_gt,posx_meas,posy_meas,velx,vely
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.358988988654838526e+00,3.185339297985588236e-01,-1.202445056628735465e+01,3.209981106774106507e+01
1.000000000000000021e-02,-1.973907892364704271e-03,1.884918384744267150e-01,6.451393988544004143e-01,-8.211395248003985903e-02,2.420387140660646708e+01,1.285468944794261859e+01
2.000000000000000042e-02,-5.921645750590394212e-03,3.769725148728593211e-01,6.368337093517686398e-01,-2.348333333371463993e-01,-5.482080947514749170e+00,1.425046660466741422e+01
2.999999999999999889e-02,-1.184305772474603460e-02,5.654345883009241902e-01,1.051243528461923704e+00,-1.067311218339002332e+00,3.054843469375311038e+00,2.702809166629094761e+00
4.000000000000000083e-02,-1.973791004762597001e-02,7.538706185986612240e-01,5.571776690730854131e-01,1.390110465189839495e+00,-3.060981130758267721e+00,1.718045780854791715e+01
5.000000000000000278e-02,-2.960589104397864241e-02,9.422731666342483159e-01,-6.894250740077758621e-01,3.026090211112210104e-01,8.843133481683098651e+00,3.402163338972533069e+01
5.999999999999999778e-02,-4.144661114281101427e-02,1.130634794597686010e+00,-7.115937613245520987e-01,-1.584676233796122879e-02,-7.681221224155843963e+00,1.955239563690629723e+01
7.000000000000000666e-02,-5.525960289276813514e-02,1.318948066294428845e+00,3.399847291848439451e-02,2.019464310063146417e+00,-1.124945613036578962e+01,1.476847788328268152e+01
8.000000000000000167e-02,-7.104432098058735545e-02,1.507205547438954518e+00,-2.377371023198767697e-01,2.407646951258985979e-01,-5.197913047773583983e+00,3.042102078369362061e+01
8.999999999999999667e-02,-8.880014225262632122e-02,1.695399805948255567e+00,7.747138420675626636e-01,1.560661959380197361e+00,7.501625783352515064e+00,2.767145366036786669e+01
1.000000000000000056e-01,-1.085263657394640591e-01,1.883523412235246441e+00,-2.795767751010154178e-01,1.696946565174295873e+00,-4.195154094641776688e+00,9.094266808427937221e+00
